2025-07-18 09:17:45.614 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: low purchase ===
2025-07-18 09:17:50.321 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [low purchase]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-18 09:17:50.431 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: free basic ===
2025-07-18 09:17:54.648 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [free basic]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-18 09:17:54.757 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: arrears recovered ===
2025-07-18 09:17:57.826 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [arrears recovered]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-18 09:17:57.937 [main] INFO  UtilipayV2Hybrid.testBase.Base - *** Reporting Test Completed ***
2025-07-18 09:54:43.176 [main] INFO  UtilipayV2Hybrid.testBase.Base - *** Setting up Reporting Test ***
2025-07-18 09:54:43.233 [main] INFO  UtilipayV2Hybrid.testBase.Base - *** Logging in ***
2025-07-18 09:54:43.609 [main] INFO  UtilipayV2Hybrid.testBase.Base - *** Navigating to Reporting Section ***
2025-07-18 09:54:44.720 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: prepaid sales ===
2025-07-18 09:54:51.350 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [prepaid sales]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-18 09:54:51.466 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: day end ===
2025-07-18 09:54:57.986 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [day end]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-18 09:54:58.096 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: month end ===
2025-07-18 09:55:00.836 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [month end]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-18 09:55:00.937 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: low purchase ===
2025-07-18 09:55:06.318 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [low purchase]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-18 09:55:06.425 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: free basic ===
2025-07-18 09:55:10.510 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [free basic]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-18 09:55:10.623 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: arrears recovered ===
2025-07-18 09:55:14.088 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [arrears recovered]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-18 09:55:14.190 [main] INFO  UtilipayV2Hybrid.testBase.Base - *** Reporting Test Completed ***
2025-07-18 11:01:22.969 [TestNG-tests-3] INFO  UtilipayV2Hybrid.testBase.Base - *** Setting up Reporting Test ***
2025-07-18 11:01:23.093 [TestNG-tests-3] INFO  UtilipayV2Hybrid.testBase.Base - *** Logging in ***
2025-07-18 11:01:25.851 [TestNG-tests-3] INFO  UtilipayV2Hybrid.testBase.Base - *** Navigating to Reporting Section ***
2025-07-18 11:01:26.767 [TestNG-tests-3] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: prepaid sales ===
2025-07-18 11:01:32.893 [TestNG-tests-3] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [prepaid sales]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-18 11:01:33.003 [TestNG-tests-3] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: day end ===
2025-07-18 11:01:35.312 [TestNG-tests-2] INFO  UtilipayV2Hybrid.testBase.Base - *** Setting up Reporting Test ***
2025-07-18 11:01:35.317 [TestNG-tests-2] INFO  UtilipayV2Hybrid.testBase.Base - *** Logging in ***
2025-07-18 11:01:36.960 [TestNG-tests-2] INFO  UtilipayV2Hybrid.testBase.Base - *** Navigating to Reporting Section ***
2025-07-18 11:01:37.826 [TestNG-tests-2] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: prepaid sales ===
2025-07-18 11:01:42.183 [TestNG-tests-3] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [day end]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-18 11:01:42.285 [TestNG-tests-3] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: month end ===
2025-07-18 11:01:45.694 [TestNG-tests-3] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [month end]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-18 11:01:45.800 [TestNG-tests-3] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: low purchase ===
2025-07-18 11:01:53.335 [TestNG-tests-3] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [low purchase]: Your report is being prepared. you will receive an email ones it is ready!
