2025-07-24 11:52:49.409 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: manufacturing mngt function token
2025-07-24 11:53:03.803 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: key change token
2025-07-24 11:53:18.474 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: management function token
2025-07-24 12:01:59.093 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: prepaid sales ===
2025-07-24 12:02:03.771 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [prepaid sales]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-24 12:02:03.879 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: day end ===
2025-07-24 12:02:10.034 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [day end]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-24 12:02:10.146 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: month end ===
2025-07-24 12:02:14.594 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [month end]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-24 12:02:14.696 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: low purchase ===
2025-07-24 12:02:19.770 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [low purchase]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-24 12:02:19.875 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: free basic ===
2025-07-24 12:02:23.646 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [free basic]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-24 12:02:23.761 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: arrears recovered ===
2025-07-24 12:02:27.446 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [arrears recovered]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-24 12:02:27.553 [main] INFO  UtilipayV2Hybrid.testBase.Base - *** Reporting Test Completed ***
2025-07-24 12:02:29.333 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: encrypt credit token
2025-07-24 12:02:44.727 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: verify encrypted token
2025-07-24 12:03:00.621 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: manufacturing token
2025-07-24 12:03:15.806 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: manufacturing key change token
2025-07-24 12:03:30.272 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: manufacturing mngt function token
2025-07-24 12:03:46.576 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: key change token
2025-07-24 12:04:01.097 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: management function token
2025-07-24 12:04:17.552 [main] INFO  UtilipayV2Hybrid.testBase.Base - *** Verifying toaster message ***
2025-07-24 12:11:02.885 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: prepaid sales ===
2025-07-24 12:11:07.455 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [prepaid sales]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-24 12:11:07.458 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: day end ===
2025-07-24 12:11:13.194 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [day end]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-24 12:11:13.194 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: month end ===
2025-07-24 12:11:16.459 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [month end]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-24 12:11:16.459 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: low purchase ===
2025-07-24 12:11:21.235 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [low purchase]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-24 12:11:21.237 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: free basic ===
2025-07-24 12:11:24.222 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [free basic]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-24 12:11:24.223 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: arrears recovered ===
2025-07-24 12:11:27.896 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [arrears recovered]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-24 12:11:27.896 [main] INFO  UtilipayV2Hybrid.testBase.Base - *** Reporting Test Completed ***
2025-07-24 12:11:28.943 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: encrypt credit token
2025-07-24 12:11:43.255 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: verify encrypted token
