2025-07-24 12:11:57.352 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: manufacturing token
2025-07-24 12:12:11.648 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: manufacturing key change token
2025-07-24 12:12:25.390 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: manufacturing mngt function token
2025-07-24 12:12:39.347 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: key change token
2025-07-24 12:12:53.346 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: management function token
2025-07-24 12:13:09.948 [main] INFO  UtilipayV2Hybrid.testBase.Base - *** Verifying toaster message ***
2025-07-24 15:11:55.783 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: prepaid sales ===
2025-07-24 15:12:01.495 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [prepaid sales]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-24 15:12:01.506 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: day end ===
2025-07-24 15:12:07.821 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [day end]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-24 15:12:07.821 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: month end ===
2025-07-24 15:12:10.682 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [month end]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-24 15:12:10.682 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: low purchase ===
2025-07-24 15:12:14.803 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [low purchase]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-24 15:12:14.803 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: free basic ===
2025-07-24 15:12:17.897 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [free basic]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-24 15:12:17.897 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: arrears recovered ===
2025-07-24 15:12:21.673 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [arrears recovered]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-24 15:12:21.673 [main] INFO  UtilipayV2Hybrid.testBase.Base - *** Reporting Test Completed ***
2025-07-24 15:12:22.706 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: encrypt credit token
2025-07-24 15:12:37.403 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: verify encrypted token
2025-07-24 15:12:51.566 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: manufacturing token
2025-07-24 15:13:05.583 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: manufacturing key change token
2025-07-24 15:13:19.814 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: manufacturing mngt function token
2025-07-24 15:13:33.426 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: key change token
2025-07-24 15:13:47.594 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: management function token
2025-07-24 15:14:04.045 [main] INFO  UtilipayV2Hybrid.testBase.Base - *** Verifying toaster message ***
2025-07-28 10:26:58.473 [main] INFO  UtilipayV2Hybrid.testBase.Base - *** Verifying toaster message for Import ***
2025-07-28 10:37:14.915 [main] INFO  UtilipayV2Hybrid.testBase.Base - *** Verifying toaster message for Import ***
2025-07-29 16:33:04.807 [main] INFO  UtilipayV2Hybrid.testBase.Base - *** Verifying toaster message ***
2025-07-29 16:33:12.970 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: prepaid sales ===
2025-07-29 16:33:17.935 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [prepaid sales]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-29 16:33:17.938 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: day end ===
2025-07-29 16:33:23.411 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [day end]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-29 16:33:23.411 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: month end ===
2025-07-29 16:33:27.906 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [month end]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-29 16:33:27.907 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: low purchase ===
2025-07-29 16:33:33.700 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [low purchase]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-29 16:33:33.700 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: free basic ===
2025-07-29 16:33:38.317 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [free basic]: Your report is being prepared. you will receive an email ones it is ready!
