2025-07-29 16:33:38.317 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: arrears recovered ===
2025-07-29 16:33:42.211 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [arrears recovered]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-29 16:33:42.211 [main] INFO  UtilipayV2Hybrid.testBase.Base - *** Reporting Test Completed ***
2025-07-29 16:33:43.324 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: encrypt credit token
2025-07-29 16:33:58.083 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: verify encrypted token
2025-07-29 16:34:12.300 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: manufacturing token
2025-07-29 16:34:26.418 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: manufacturing key change token
2025-07-29 16:34:40.434 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: manufacturing mngt function token
2025-07-29 16:34:54.109 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: key change token
2025-07-29 16:35:07.576 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: management function token
2025-07-30 08:21:07.481 [main] INFO  UtilipayV2Hybrid.testBase.Base - *** Verifying toaster message ***
2025-07-30 08:21:13.440 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: prepaid sales ===
2025-07-30 08:21:18.394 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [prepaid sales]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-30 08:21:18.395 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: day end ===
2025-07-30 08:21:23.873 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [day end]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-30 08:21:23.873 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: month end ===
2025-07-30 08:21:26.254 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [month end]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-30 08:21:26.255 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: low purchase ===
2025-07-30 08:21:31.290 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [low purchase]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-30 08:21:31.291 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: free basic ===
2025-07-30 08:21:35.005 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [free basic]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-30 08:21:35.005 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: arrears recovered ===
2025-07-30 08:21:38.681 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [arrears recovered]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-30 08:21:38.681 [main] INFO  UtilipayV2Hybrid.testBase.Base - *** Reporting Test Completed ***
2025-07-30 08:21:39.644 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: encrypt credit token
2025-07-30 08:21:53.881 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: verify encrypted token
2025-07-30 08:22:07.641 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: manufacturing token
2025-07-30 08:22:21.457 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: manufacturing key change token
2025-07-30 08:22:35.334 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: manufacturing mngt function token
2025-07-30 08:22:49.350 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: key change token
2025-07-30 08:23:03.292 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: management function token
2025-07-30 14:23:48.221 [main] INFO  UtilipayV2Hybrid.testBase.Base - *** Verifying toaster message ***
2025-07-30 14:23:55.251 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: prepaid sales ===
2025-07-30 14:24:00.020 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [prepaid sales]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-30 14:24:00.037 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: day end ===
2025-07-30 14:24:05.682 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [day end]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-30 14:24:05.682 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: month end ===
2025-07-30 14:24:08.648 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [month end]: Your report is being prepared. you will receive an email ones it is ready!
2025-07-30 14:24:08.649 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: low purchase ===
2025-07-30 14:24:13.944 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [low purchase]: Your report is being prepared. you will receive an email ones it is ready!
